0903|9:03 am|9:03 am lay in bed, staring at ceiling.
0903|three minutes past nine|The greengrocer arrived on his bicycle at three minutes past nine, felt in the pocket of his close-fitting denim jacket, and unlocked the door. But his back was firmly toward the street and it was impossible for Scase to get a glance at the keys.
0903|three minutes past nine|This isn't a very good start to the new school year. I stared at her. What was she talking about? Why was she looking at her watch? I wasn't late. Okay, the school bell had rung as I was crossing the playground, but you always get five minutes to get to your classroom.<br/>"It's three minutes past nine," Miss Beckworth announced. "You're late."
